Municipios;Periodo;Total
02003 Albacete;2020;-9,3
02003 Albacete;2019;5,8
02003 Albacete;2018;1,6
02003 Albacete;2017;1,4
02003 Albacete;2016;2,3
02003 Albacete;2015;1,8
02003 Albacete;2014;-2,1
03014 Alicante/Alacant;2020;-0,5
03014 Alicante/Alacant;2019;7,7
03014 Alicante/Alacant;2018;9,9
03014 Alicante/Alacant;2017;4,8
03014 Alicante/Alacant;2016;-1,6
03014 Alicante/Alacant;2015;5,7
03014 Alicante/Alacant;2014;-10,3
04013 Almería;2020;-2,8
04013 Almería;2019;14,0
04013 Almería;2018;8,5
04013 Almería;2017;7,5
04013 Almería;2016;4,5
04013 Almería;2015;1,6
04013 Almería;2014;4,4
05019 Ávila;2020;-7,2
05019 Ávila;2019;10,8
05019 Ávila;2018;1,5
05019 Ávila;2017;-8,5
05019 Ávila;2016;1,1
05019 Ávila;2015;-4,7
05019 Ávila;2014;-9,8
33004 Avilés;2020;-11,9
33004 Avilés;2019;-5,0
33004 Avilés;2018;-6,8
33004 Avilés;2017;-10,1
33004 Avilés;2016;-7,5
33004 Avilés;2015;-9,5
33004 Avilés;2014;-9,6
06015 Badajoz;2020;-2,5
06015 Badajoz;2019;1,9
06015 Badajoz;2018;1,1
06015 Badajoz;2017;-0,1
06015 Badajoz;2016;4,0
06015 Badajoz;2015;0,4
06015 Badajoz;2014;-4,2
08019 Barcelona;2020;-16,6
08019 Barcelona;2019;16,6
08019 Barcelona;2018;10,1
08019 Barcelona;2017;-0,3
08019 Barcelona;2016;7,5
08019 Barcelona;2015;2,6
08019 Barcelona;2014;1,4
03031 Benidorm;2020;-19,1
03031 Benidorm;2019;24,8
03031 Benidorm;2018;17,1
03031 Benidorm;2017;10,8
03031 Benidorm;2016;2,8
03031 Benidorm;2015;-35,4
03031 Benidorm;2014;0,5
48020 Bilbao;2020;-10,9
48020 Bilbao;2019;9,6
48020 Bilbao;2018;3,0
48020 Bilbao;2017;2,1
48020 Bilbao;2016;-0,0
48020 Bilbao;2015;-0,1
48020 Bilbao;2014;-4,1
09059 Burgos;2020;-13,5
09059 Burgos;2019;3,4
09059 Burgos;2018;-0,6
09059 Burgos;2017;1,7
09059 Burgos;2016;-5,6
09059 Burgos;2015;-2,8
09059 Burgos;2014;-3,8
10037 Cáceres;2020;-8,7
10037 Cáceres;2019;1,3
10037 Cáceres;2018;0,6
