Capital,precio_m2,Variacion_interanual(%),Variacion_desde_maximos(%),Variacion_desde_minimos(%),Provincia_id
San Sebastián,3959,"7,30","-12,20","46,20",13
Madrid,3528,"8,90","-12,60","64,60",11
Bilbao,2643,"5,60","-24,00","22,80",13
Palma de Mallorca,2536,"2,60","-5,10","49,00",0
Vitoria,2244,"8,40","-25,20","41,20",13
Cádiz,2155,"3,80","-26,80","17,90",1
Pamplona,2016,"5,70","-27,30","43,50",12
Málaga,2006,"7,60","-17,30","48,20",1
Ceuta,1993,"6,90","-7,20","15,90",0
Sevilla,1959,"4,00","-27,90","28,80",1
Gerona/Girona,1933,"1,90","-33,30","29,60",7
Coruña (La),1805,"0,90","-18,30","13,90",10
Santander,1779,"3,60","-33,10","13,50",4
Valencia/València,1765,"9,70","-27,00","45,90",8
Granada,1738,"5,30","-30,30","18,00",1
Melilla,1728,"0,90","-6,00","9,40",0
Palmas (Las),1692,"4,60","-18,80","22,80",0
Salamanca,1619,"7,50","-32,50","10,60",5
Zaragoza,1616,"9,90","-42,00","26,30",2
Alicante/Alacant,1501,"3,40","-24,70","25,90",8
Tarragona,1498,"1,80","-41,40","20,40",7
Córdoba,1482,"2,70","-36,30","11,00",1
Valladolid,1455,"4,80","-31,10","18,00",5
Burgos,1454,"4,60","-38,00","6,60",5
Oviedo,1447,"3,20","-28,40","10,30",3
Santa Cruz de Tenerife,1419,"1,70","-18,90","17,20",0
Guadalajara,1408,"3,10","-44,10","16,10",6
Segovia,1398,"3,10","-44,30","7,40",11
Toledo,1361,"3,40","-42,30","9,50",6
Huesca,1358,"1,10","-33,10","17,80",2
Almería,1339,"6,70","-37,60","16,50",1
Logroño,1335,"3,50","-43,30","24,40",14
Pontevedra,1323,"7,70","-18,20","11,20",10
Teruel,1288,"9,90","-27,60","14,70",2
Murcia,1258,"6,60","-34,90","15,10",0
Palencia,1248,"2,10","-30,30","4,60",5
León,1241,"4,40","-29,80","12,40",0
Badajoz,1236,"3,50","-31,20","11,60",9
Orense/Ourense,1223,"4,60","-18,40","5,60",10
Albacete,1219,"4,40","-42,10","10,40",6
Huelva,1203,"3,40","-40,30","11,10",1
Jaén,1201,"1,30","-39,20","1,30",1
Cuenca,1181,"2,90","-40,30","9,20",6
Cáceres,1144,"7,50","-29,50","10,20",9
Castellón/Castellón,1101,"4,20","-41,70","17,80",8
Lérida/Lleida,1098,"1,70","-47,70","10,60",7
Ávila,1078,"4,10","-43,00","16,40",5
Lugo,1075,"5,50","-21,60","16,40",10
Soria,1044,"1,40","-44,40","6,20",5
Ciudad Real,1042,"2,70","-47,50","2,70",6
Zamora,1018,"-7,50","-36,50","0,70",5
