provincia,id
Albacete,1
Lleida,2
Málaga,3
Almería,4
Valencia/València,5
Toledo,6
Barcelona,7
Santa Cruz de Tenerife,8
Valencia/València,9
Madrid,10
Valencia/València,11
Barcelona,12
Lleida,13
Girona,14
Murcia,15
Asturias,16
Santa Cruz de Tenerife,17
Pontevedra,18
Alicante/Alacant,19
Murcia,20
Asturias,21
Albacete,22
Santa Cruz de Tenerife,23
Murcia,24
Huesca,25
Granada,26
Murcia,27
Alicante/Alacant,28
Valencia/València,29
Pontevedra,30
Jaén,31
Castellón/Castelló,32
Las Palmas,33
Las Palmas,34
Madrid,35
Madrid,36
Asturias,37
Tarragona,38
Girona,39
Almería,40
Sevilla,41
Lleida,42
Tarragona,43
Las Palmas,44
Madrid,45
Almería,46
Cádiz,47
Las Palmas,48
A Coruña,49
Murcia,50
A Coruña,51
Barcelona,52
Málaga,53
Madrid,54
Lleida,55
Alicante/Alacant,56
Cuenca,57
Granada,58
Almería,59
Málaga,60
Barcelona,61
Navarra,62
Valencia/València,63
Asturias,64
Barcelona,65
Barcelona,66
Castellón/Castelló,67
Tarragona,68
Madrid,69
Huelva,70
Madrid,71
Sevilla,72
Alicante/Alacant,73
Madrid,74
Santa Cruz de Tenerife,75
Illes Balears,76
Cáceres,77
Albacete,78
Barcelona,79
Tarragona,80
Bizkaia,81
Almería,82
Tarragona,83
Barcelona,84
Murcia,85
Tarragona,86
Alicante/Alacant,87
Sevilla,88
Alicante/Alacant,89
Sevilla,90
Asturias,91
Granada,92
Tarragona,93
Valencia/València,94
Madrid,95
Cantabria,96
Cádiz,97
Tarragona,98
Barcelona,99
Illes Balears,100
Murcia,101
Sevilla,102
Madrid,103
Tarragona,104
Madrid,105
Barcelona,106
Cádiz,107
Barcelona,108
Murcia,109
Toledo,110
Cádiz,111
Madrid,112
Zaragoza,113
Barcelona,114
Barcelona,115
Valencia/València,116
Girona,117
Barcelona,118
Madrid,119
Valencia/València,120
Madrid,121
Santa Cruz de Tenerife,122
Zaragoza,123
Córdoba,124
Murcia,125
Tarragona,126
Huesca,127
Ciudad Real,128
Málaga,129
Las Palmas,130
Cantabria,131
Córdoba,132
Barcelona,133
Barcelona,134
Murcia,135
Las Palmas,136
Illes Balears,137
Cantabria,138
Jaén,139
Huelva,140
Madrid,141
