provincia,id,Provincia_id,Comunidad_Autonoma
Albacete,1,6,Castilla La Mancha
Lleida,2,7,Cataluña
Málaga,3,1,Andalucia
Almería,4,1,Andalucia
Valencia/València,5,8,Valencia
Toledo,6,6,Castilla La Mancha
Barcelona,7,7,Cataluña
Santa Cruz de Tenerife,8,0,Unknown
Valencia/València,9,8,Valencia
Madrid,10,11,Madrid
Valencia/València,11,8,Valencia
Barcelona,12,7,Cataluña
Lleida,13,7,Cataluña
Girona,14,7,Cataluña
Murcia,15,0,Unknown
Asturias,16,3,Asturias
Santa Cruz de Tenerife,17,0,Unknown
Pontevedra,18,10,Galicia
Alicante/Alacant,19,8,Valencia
Murcia,20,0,Unknown
Asturias,21,3,Asturias
Albacete,22,6,Castilla La Mancha
Santa Cruz de Tenerife,23,0,Unknown
Murcia,24,0,Unknown
Huesca,25,2,Aragon
Granada,26,1,Andalucia
Murcia,27,0,Unknown
Alicante/Alacant,28,8,Valencia
Valencia/València,29,8,Valencia
Pontevedra,30,10,Galicia
Jaén,31,1,Andalucia
Castellón/Castelló,32,8,Valencia
Las Palmas,33,0,Unknown
Las Palmas,34,0,Unknown
Madrid,35,11,Madrid
Madrid,36,11,Madrid
Asturias,37,3,Asturias
Tarragona,38,7,Cataluña
Girona,39,7,Cataluña
Almería,40,1,Andalucia
Sevilla,41,1,Andalucia
Lleida,42,7,Cataluña
Tarragona,43,7,Cataluña
Las Palmas,44,0,Unknown
Madrid,45,11,Madrid
Almería,46,1,Andalucia
Cádiz,47,1,Andalucia
Las Palmas,48,0,Unknown
A Coruña,49,10,Galicia
Murcia,50,0,Unknown
A Coruña,51,10,Galicia
Barcelona,52,7,Cataluña
Málaga,53,1,Andalucia
Madrid,54,11,Madrid
Lleida,55,7,Cataluña
Alicante/Alacant,56,8,Valencia
Cuenca,57,6,Castilla La Mancha
Granada,58,1,Andalucia
Almería,59,1,Andalucia
Málaga,60,1,Andalucia
Barcelona,61,7,Cataluña
Navarra,62,12,Navarra
Valencia/València,63,8,Valencia
Asturias,64,3,Asturias
Barcelona,65,7,Cataluña
Barcelona,66,7,Cataluña
Castellón/Castelló,67,8,Valencia
Tarragona,68,7,Cataluña
Madrid,69,11,Madrid
Huelva,70,1,Andalucia
Madrid,71,11,Madrid
Sevilla,72,1,Andalucia
Alicante/Alacant,73,8,Valencia
Madrid,74,11,Madrid
Santa Cruz de Tenerife,75,0,Unknown
Illes Balears,76,0,Unknown
Cáceres,77,9,Extremadura
Albacete,78,6,Castilla La Mancha
Barcelona,79,7,Cataluña
Tarragona,80,7,Cataluña
Bizkaia,81,13,Pais Vasco
Almería,82,1,Andalucia
Tarragona,83,7,Cataluña
Barcelona,84,7,Cataluña
Murcia,85,0,Unknown
Tarragona,86,7,Cataluña
Alicante/Alacant,87,8,Valencia
Sevilla,88,1,Andalucia
Alicante/Alacant,89,8,Valencia
Sevilla,90,1,Andalucia
Asturias,91,3,Asturias
Granada,92,1,Andalucia
Tarragona,93,7,Cataluña
Valencia/València,94,8,Valencia
Madrid,95,11,Madrid
Cantabria,96,4,Cantabria
Cádiz,97,1,Andalucia
Tarragona,98,7,Cataluña
Barcelona,99,7,Cataluña
Illes Balears,100,0,Unknown
Murcia,101,0,Unknown
Sevilla,102,1,Andalucia
