Identificador,Tipo_de_subasta,Cuenta_expediente,Fecha_de_inicio,Fecha_de_conclusión,Cantidad_reclamda,Lotes,Anuncio_BOE,Valor_subasta,Tasación,Puja_mínima,Tramos_entre_pujas,Importe_del_depósito,id,Juzgado,Localidad
SUB-JA-2022-203012,JUDICIAL EN VÍA DE APREMIO,3220 0000 05 0100 16,17-11-2022,07-12-2022,"46.349,99 ",Sin lotes,BOE-B-2022-35225,"46.197,73 ","70.025,00 ",Sin puja mínima,"923,95 ","2.309,89 ",1,JUZGADO 1ª INSTANCIA 6 , albacete
SUB-JA-2022-204231,JUDICIAL EN VÍA DE APREMIO,2198 0000 06 1275 21,17-11-2022,07-12-2022,"100.921,30 ",Sin lotes,BOE-B-2022-35257,"222.533,50 ","0,00 ",Sin puja mínima,"4.450,67 ","11.126,67 ",2,JUZGADO 1ª INSTANCIA 4 , lleida
SUB-JA-2022-204060,JUDICIAL EN VÍA DE APREMIO,2995 0000 06 0456 16,17-11-2022,07-12-2022,"55.933,14 ",Sin lotes,BOE-B-2022-35263,"247.902,51 ","0,00 ",Sin puja mínima,Sin tramos,"12.395,13 ",3,JUZGADO 1ª INSTANCIA 4 , marbella
SUB-JA-2022-204055,JUDICIAL EN VÍA DE APREMIO,5096 0000 06 0869 18,17-11-2022,07-12-2022,"101.488,00 ",Sin lotes,BOE-B-2022-35229,"145.950,00 ","0,00 ",Sin puja mínima,Sin tramos,"7.297,50 ",4,JUZGADO 1ª INSTANCIA 7 , almeria
SUB-JA-2022-204053,JUDICIAL EN VÍA DE APREMIO,4355 0000 05 0528 20,17-11-2022,07-12-2022,"240.000,00 ",Sin lotes,BOE-B-2022-35232,"70.693,75 ","0,00 ",Sin puja mínima,"1.413,87 ","3.534,68 ",5,JUZGADO 1ª INST E INSTRUCC. 2 , alzira
SUB-JA-2022-204033,JUDICIAL EN VÍA DE APREMIO,4307 0000 06 0236 21,17-11-2022,07-12-2022,"62.577,02 ",Sin lotes,BOE-B-2022-35279,"111.822,11 ","111.822,11 ",Sin puja mínima,"2.236,44 ","5.591,10 ",6,JUZGADO 1ª INST E INSTRUCC. 1 , talavera de la reina
SUB-JA-2022-204032,JUDICIAL EN VÍA DE APREMIO,0854 0000 06 0261 22,17-11-2022,07-12-2022,"162.686,82 ",Sin lotes,BOE-B-2022-35277,"269.800,00 ","0,00 ",Sin puja mínima,"5.396,00 ","13.490,00 ",7,JUZGADO 1ª INST E INSTRUCC. 2 , santa coloma gramenet
SUB-JA-2022-204013,JUDICIAL EN VÍA DE APREMIO,4743 0000 05 1018 20,17-11-2022,07-12-2022,"7.145,84 ",Sin lotes,BOE-B-2022-35270,"108.482,68 ","0,00 ",Sin puja mínima,"2.169,65 ","5.424,13 ",9,JUZGADO 1ª INST E INSTRUCC. 3 , picassent
SUB-JA-2022-196067,JUDICIAL EN VÍA DE APREMIO,2368 0000 06 0191 20,17-11-2022,07-12-2022,"142.298,34 ",Sin lotes,BOE-B-2022-35269,"305.832,00 ","0,00 ",Sin puja mínima,"6.116,64 ","15.291,60 ",10,JUZGADO 1ª INST E INSTRUCC. 3 , parla
SUB-JA-2022-204002,JUDICIAL EN VÍA DE APREMIO,4395 0000 05 0768 11,17-11-2022,07-12-2022,"42.336,78 ",Sin lotes,BOE-B-2022-35259,"74.900,00 ","74.900,00 ",Sin puja mínima,"1.498,00 ","3.745,00 ",11,JUZGADO 1ª INST E INSTRUCC. 3 , lliria
