0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SUB-JA-2022-203012,JUDICIAL EN VÍA DE APREMIO,3220 0000 05 0100 16,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"46.349,99 €",Sin lotes,BOE-B-2022-35225,"46.197,73 €","70.025,00 €",Sin puja mínima,"923,95 €","2.309,89 €",JUZGADO 1ª INSTANCIA 6 - ALBACETE,
SUB-JA-2022-204231,JUDICIAL EN VÍA DE APREMIO,2198 0000 06 1275 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"100.921,30 €",Sin lotes,BOE-B-2022-35257,"222.533,50 €","0,00 €",Sin puja mínima,"4.450,67 €","11.126,67 €",JUZGADO 1ª INSTANCIA 4 - LLEIDA,
SUB-JA-2022-204060,JUDICIAL EN VÍA DE APREMIO,2995 0000 06 0456 16,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"55.933,14 €",Sin lotes,BOE-B-2022-35263,"247.902,51 €","0,00 €",Sin puja mínima,Sin tramos,"12.395,13 €",JUZGADO 1ª INSTANCIA 4 - MARBELLA,
SUB-JA-2022-204055,JUDICIAL EN VÍA DE APREMIO,5096 0000 06 0869 18,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"101.488,00 €",Sin lotes,BOE-B-2022-35229,"145.950,00 €","0,00 €",Sin puja mínima,Sin tramos,"7.297,50 €",JUZGADO 1ª INSTANCIA 7 - ALMERIA,
SUB-JA-2022-204053,JUDICIAL EN VÍA DE APREMIO,4355 0000 05 0528 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"240.000,00 €",Sin lotes,BOE-B-2022-35232,"70.693,75 €","0,00 €",Sin puja mínima,"1.413,87 €","3.534,68 €",JUZGADO 1ª INST E INSTRUCC. 2 - ALZIRA,
SUB-JA-2022-204033,JUDICIAL EN VÍA DE APREMIO,4307 0000 06 0236 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"62.577,02 €",Sin lotes,BOE-B-2022-35279,"111.822,11 €","111.822,11 €",Sin puja mínima,"2.236,44 €","5.591,10 €",JUZGADO 1ª INST E INSTRUCC. 1 - TALAVERA DE LA REINA,
SUB-JA-2022-204032,JUDICIAL EN VÍA DE APREMIO,0854 0000 06 0261 22,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"162.686,82 €",Sin lotes,BOE-B-2022-35277,"269.800,00 €","0,00 €",Sin puja mínima,"5.396,00 €","13.490,00 €",JUZGADO 1ª INST E INSTRUCC. 2 - SANTA COLOMA GRAMENET,
SUB-NE-2022-1125987,NOTARIAL EN VENTA EXTRAJUDICIAL,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"11.730,81 €",Sin lotes,BOE-B-2022-35401,No consta,"4.808,10 €",Sin puja mínima,Sin tramos,"240,41 €",Notaría de Roberto Jesús Cutillas Morales - Adeje,,
SUB-JA-2022-204013,JUDICIAL EN VÍA DE APREMIO,4743 0000 05 1018 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"7.145,84 €",Sin lotes,BOE-B-2022-35270,"108.482,68 €","0,00 €",Sin puja mínima,"2.169,65 €","5.424,13 €",JUZGADO 1ª INST E INSTRUCC. 3 - PICASSENT,
SUB-JA-2022-196067,JUDICIAL EN VÍA DE APREMIO,2368 0000 06 0191 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"142.298,34 €",Sin lotes,BOE-B-2022-35269,"305.832,00 €","0,00 €",Sin puja mínima,"6.116,64 €","15.291,60 €",JUZGADO 1ª INST E INSTRUCC. 3 - PARLA,
SUB-JA-2022-204002,JUDICIAL EN VÍA DE APREMIO,4395 0000 05 0768 11,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"42.336,78 €",Sin lotes,BOE-B-2022-35259,"74.900,00 €","74.900,00 €",Sin puja mínima,"1.498,00 €","3.745,00 €",JUZGADO 1ª INST E INSTRUCC. 3 - LLIRIA,
SUB-JA-2022-203284,JUDICIAL EN VÍA DE APREMIO,0865 0000 05 0546 19,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"246.612,85 €",Sin lotes,BOE-B-2022-35281,"248.692,80 €","0,00 €",Sin puja mínima,"4.973,86 €","12.434,64 €",JUZGADO 1ª INSTANCIA 1 - TERRASSA,
SUB-JA-2022-204228,JUDICIAL EN VÍA DE APREMIO,2192 0000 06 0356 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"74.047,95 €",Sin lotes,BOE-B-2022-35256,"126.915,73 €","0,00 €",Sin puja mínima,"2.538,31 €","6.345,78 €",JUZGADO 1ª INSTANCIA 2 - LLEIDA,
SUB-RC-2022-1710000145,RECAUDACIÓN TRIBUTARIA,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"29.196,68 €",Sin lotes,BOE-B-2022-35378,"615.000,00 €","615.000,00 €","215.250,00 €","1.000,00 €","30.750,00 €",Consell Comarcal del Baix Empordà - La Bisbal d'Empordà,,
SUB-JA-2022-201796,JUDICIAL EN VÍA DE APREMIO,3728 3096 06 0027 21,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"72.107,77 €",Sin lotes,BOE-B-2022-35287,"124.332,75 €","0,00 €",Sin puja mínima,"2.486,67 €","6.216,64 €",UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,
SUB-JV-2022-203759,JUDICIAL VOLUNTARIA,3350 0000 05 0036 22,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"0,00 €",7,Separada para cada lote,BOE-B-2022-35268,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INSTANCIA 2 - OVIEDO
SUB-NE-2022-1115988,NOTARIAL EN VENTA EXTRAJUDICIAL,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"13.010,51 €",Sin lotes,BOE-B-2022-35403,No consta,"2.404,05 €",Sin puja mínima,Sin tramos,"120,20 €",Notaría de Roberto Jesús Cutillas Morales - Adeje,,
SUB-JA-2022-200844,JUDICIAL EN VÍA DE APREMIO,2365 0000 06 0840 11,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"107.644,83 €",5,Separada para cada lote,BOE-B-2022-35241,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),JUZGADO 1ª INST E INSTRUCC. 1 - COLMENAR VIEJO
SUB-JA-2022-197017,JUDICIAL EN VÍA DE APREMIO,0219 0000 06 1963 11,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"33.482,79 €",Sin lotes,BOE-B-2022-35226,"173.500,00 €","0,00 €",Sin puja mínima,"3.470,00 €","8.675,00 €",JUZGADO 1ª INSTANCIA 9 - ALICANTE/ALACANT,
SUB-JA-2022-204215,JUDICIAL EN VÍA DE APREMIO,3728 5082 06 0199 19,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"140.418,66 €",Sin lotes,BOE-B-2022-35290,"242.843,00 €","0,00 €",Sin puja mínima,"2.428,44 €","12.142,15 €",UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,
SUB-JA-2022-202602,JUDICIAL EN VÍA DE APREMIO,3337 0000 05 0058 13,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"48.487,10 €",Sin lotes,BOE-B-2022-35264,"75.764,00 €","0,00 €",Sin puja mínima,"1.515,28 €","3.788,20 €",JUZGADO 1ª INST E INSTRUCC. 1 - MIERES,
SUB-JA-2022-199722,JUDICIAL EN VÍA DE APREMIO,0033 0000 06 1396 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"118.824,33 €",Sin lotes,BOE-B-2022-35224,"257.500,00 €","0,00 €",Sin puja mínima,"5.150,00 €","12.875,00 €",JUZGADO 1ª INSTANCIA 2 - ALBACETE,
SUB-NE-2022-1135992,NOTARIAL EN VENTA EXTRAJUDICIAL,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"1.663,26 €",2,Conjunta para todos los lotes,BOE-B-2022-35402,No consta,"5.409,11 €",Sin puja mínima,Sin tramos,"270,46 €",Notaría de Roberto Jesús Cutillas Morales - Adeje,
SUB-JA-2022-200892,JUDICIAL EN VÍA DE APREMIO,3728 3070 06 1042 09,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"25.982,92 €",Sin lotes,BOE-B-2022-35292,"144.400,00 €","0,00 €",Sin puja mínima,"2.888,01 €","7.220,00 €",UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA,
SUB-JA-2022-204190,JUDICIAL EN VÍA DE APREMIO,1994 0000 05 0024 14,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"36.598,85 €",Sin lotes,BOE-B-2022-35267,"116.198,89 €","0,00 €",Sin puja mínima,"2.323,97 €","5.809,94 €",JUZGADO 1ª INST E INSTRUCC. 1 - MONZON,
SUB-JA-2022-203828,JUDICIAL EN VÍA DE APREMIO,5375 0000 06 0489 20,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"206.099,56 €",Sin lotes,BOE-B-2022-35278,"370.674,13 €","0,00 €",Sin puja mínima,"7.413,48 €","18.533,70 €",JUZGADO 1 INST E INSTRUCC. 4 - SANTA FE,
SUB-JA-2021-171012,JUDICIAL EN VÍA DE APREMIO,3728 3056 06 0198 12,17-11-2022 18:00:00 CET (ISO: 2022-11-17T18:00:00+01:00),07-12-2022 18:00:00 CET (ISO: 2022-12-07T18:00:00+01:00),"369.921,91 €",3,Separada para cada lote,BOE-B-2022-35291,Ver valor de subasta en cada lote (los lotes se subastan de forma independiente),Ver valor de tasación en cada lote (los lotes se subastan de forma independiente),Ver puja mínima de cada lote (adjudicación independiente),Ver tramos de cada lote (adjudicación independiente),Ver importe de consignación de cada lote (adjudicación independiente),UNIDAD SUBASTAS JUDICIALES MURCIA - MURCIA
