Provincias,Periodo,Total,ciudades2_id,comunidad_autonoma
Total,2021,47.385.107,0,Unknown
Total,2020,47.450.795,0,Unknown
Total,2019,47.026.208,0,Unknown
Total,2018,46.722.980,0,Unknown
Total,2017,46.572.132,0,Unknown
Total,2016,46.557.008,0,Unknown
Total,2015,46.624.382,0,Unknown
Total,2014,46.771.341,0,Unknown
 Albacete,2021,386.464,6,CastillalaMancha
 Albacete,2020,388.270,6,CastillalaMancha
 Albacete,2019,388.167,6,CastillalaMancha
 Albacete,2018,388.786,6,CastillalaMancha
 Albacete,2017,390.032,6,CastillalaMancha
 Albacete,2016,392.118,6,CastillalaMancha
 Albacete,2015,394.580,6,CastillalaMancha
 Albacete,2014,396.987,6,CastillalaMancha
 Alicante/Alacant,2021,1.881.762,8,valencia
 Alicante/Alacant,2020,1.879.888,8,valencia
 Alicante/Alacant,2019,1.858.683,8,valencia
 Alicante/Alacant,2018,1.838.819,8,valencia
 Alicante/Alacant,2017,1.825.332,8,valencia
 Alicante/Alacant,2016,1.836.459,8,valencia
 Alicante/Alacant,2015,1.855.047,8,valencia
 Alicante/Alacant,2014,1.868.438,8,valencia
 Almería,2021,731.792,1,Andalucia
 Almería,2020,727.945,1,Andalucia
 Almería,2019,716.820,1,Andalucia
 Almería,2018,709.340,1,Andalucia
 Almería,2017,706.672,1,Andalucia
 Almería,2016,704.297,1,Andalucia
 Almería,2015,701.211,1,Andalucia
 Almería,2014,701.688,1,Andalucia
 Araba/Álava,2021,333.626,13,PaisVasco
 Araba/Álava,2020,333.940,13,PaisVasco
 Araba/Álava,2019,331.549,13,PaisVasco
 Araba/Álava,2018,328.868,13,PaisVasco
 Araba/Álava,2017,326.574,13,PaisVasco
 Araba/Álava,2016,324.126,13,PaisVasco
 Araba/Álava,2015,323.648,13,PaisVasco
 Araba/Álava,2014,321.932,13,PaisVasco
 Asturias,2021,1.011.792,3,Asturias
 Asturias,2020,1.018.784,3,Asturias
 Asturias,2019,1.022.800,3,Asturias
 Asturias,2018,1.028.244,3,Asturias
 Asturias,2017,1.034.960,3,Asturias
 Asturias,2016,1.042.608,3,Asturias
 Asturias,2015,1.051.229,3,Asturias
 Asturias,2014,1.061.756,3,Asturias
 Ávila,2021,158.421,5,Castillayleon
 Ávila,2020,157.664,5,Castillayleon
 Ávila,2019,157.640,5,Castillayleon
 Ávila,2018,158.498,5,Castillayleon
 Ávila,2017,160.700,5,Castillayleon
 Ávila,2016,162.514,5,Castillayleon
 Ávila,2015,164.925,5,Castillayleon
 Ávila,2014,167.015,5,Castillayleon
 Badajoz,2021,669.943,9,extremadura
 Badajoz,2020,672.137,9,extremadura
 Badajoz,2019,673.559,9,extremadura
 Badajoz,2018,676.376,9,extremadura
 Badajoz,2017,679.884,9,extremadura
 Badajoz,2016,684.113,9,extremadura
 Badajoz,2015,686.730,9,extremadura
 Badajoz,2014,690.929,9,extremadura
" Balears, Illes",2021,1.173.008,0,Unknown
" Balears, Illes",2020,1.171.543,0,Unknown
" Balears, Illes",2019,1.149.460,0,Unknown
" Balears, Illes",2018,1.128.908,0,Unknown
" Balears, Illes",2017,1.115.999,0,Unknown
" Balears, Illes",2016,1.107.220,0,Unknown
" Balears, Illes",2015,1.104.479,0,Unknown
" Balears, Illes",2014,1.103.442,0,Unknown
 Barcelona,2021,5.714.730,7,cataluña
 Barcelona,2020,5.743.402,7,cataluña
 Barcelona,2019,5.664.579,7,cataluña
 Barcelona,2018,5.609.350,7,cataluña
 Barcelona,2017,5.576.037,7,cataluña
 Barcelona,2016,5.542.680,7,cataluña
 Barcelona,2015,5.523.922,7,cataluña
 Barcelona,2014,5.523.784,7,cataluña
 Bizkaia,2021,1.154.334,13,PaisVasco
 Bizkaia,2020,1.159.443,13,PaisVasco
 Bizkaia,2019,1.152.651,13,PaisVasco
 Bizkaia,2018,1.149.628,13,PaisVasco
 Bizkaia,2017,1.148.302,13,PaisVasco
 Bizkaia,2016,1.147.576,13,PaisVasco
 Bizkaia,2015,1.148.775,13,PaisVasco
 Bizkaia,2014,1.151.905,13,PaisVasco
 Burgos,2021,356.055,5,Castillayleon
 Burgos,2020,357.650,5,Castillayleon
 Burgos,2019,356.958,5,Castillayleon
 Burgos,2018,357.070,5,Castillayleon
 Burgos,2017,358.171,5,Castillayleon
 Burgos,2016,360.995,5,Castillayleon
 Burgos,2015,364.002,5,Castillayleon
 Burgos,2014,366.900,5,Castillayleon
 Cáceres,2021,389.558,9,extremadura
 Cáceres,2020,391.850,9,extremadura
 Cáceres,2019,394.151,9,extremadura
 Cáceres,2018,396.487,9,extremadura
 Cáceres,2017,400.036,9,extremadura
 Cáceres,2016,403.665,9,extremadura
 Cáceres,2015,406.267,9,extremadura
 Cáceres,2014,408.703,9,extremadura
 Cádiz,2021,1.245.960,1,Andalucia
 Cádiz,2020,1.244.049,1,Andalucia
 Cádiz,2019,1.240.155,1,Andalucia
 Cádiz,2018,1.238.714,1,Andalucia
 Cádiz,2017,1.239.435,1,Andalucia
 Cádiz,2016,1.239.889,1,Andalucia
 Cádiz,2015,1.240.284,1,Andalucia
 Cádiz,2014,1.240.175,1,Andalucia
 Cantabria,2021,584.507,4,Cantabria
